,number,steam_id,playtime_at_review,voted_up,votes_up,review,story,graphic,character,music,Operability,story_state
0,0,76561198825297366,28438,False,0,"クロスげー過ぎてつまらん
ボール取れないのも理不尽すぎて話にならん
ゲーム性はいいのにキャラクターの動きに問題がありすぎ
",,,,,,0
1,1,76561199232613773,695,True,0,"対人戦は勝てる気がしないので、COM戦（AI戦）だけしかしていない人間の評価です。

最近始めたのですが、配布で「メッシ」がもらえたり、数試合するだけで選手を確実に獲得できるチケットがもらえるので一通り選手がそろうなど、新規の人も入りやすいです。（ガチャも3回分ぐらいのポイントも貰えます）

あと、COM戦の「強さ」の設定もできるで、興味があるけど上手くない人も始めやすいかなと思います。",,,,,,0
2,2,76561199458575024,8082,False,0,"このゲームを制作した方はこの内容を面白くプレイ出来るのでしょうか？？

コンピューターが勝手に選手を動かす場面が目立ち、プレーヤーはその補助をすれば良いのでしょうか？
とにかく操作を制限されていて、ボタンを押してももっさりしていてストレスを感じる。年々その傾向が強くなってきている。
結果的にプレーヤーを少なくしてしまったのは明白。
こんなに長いラグあったらまずいでしょう。全部時間差で動いてどーすんの。対人戦なんか先読みばかりの騙しあいプレーになっているよ！　ゲームにそれ要らないね　サッカーのフェアでクリーンな理想を制作者は軽視してはいけないよ。

心理的に悔しがらせ、ある程度ストレスを与えるとプレーヤの中には何とかならないかと課金方向に進む者が増えてくるはずだ。そんなことを制作者が知らないはずがない。
無料プレーにして、ユーザーを増やし、この仕組みで課金を促進させる　

ウイイレ時代からずっと１０年くらいやってきたが、今は随分と悪くなった　アップデートで変わっていくことを期待している。AIに余計な事をさせないで欲しいな！！
",,,,,,0
3,3,76561199251036836,42,False,1,前作のウイニングイレブンを期待してこのゲームを触るのはやめてください。あらゆる面で劣化しているので、無料という甘い誘惑に負けず固定買い切りでウイニングイレブンやほかのゲームを購入してください。このゲームはやればやるほど不快感しか得られず、爽快感は一切得られません。操作感は著しく悪化しそもそもルールがサッカーとして成立しておらず、重課金しなければ対人戦では勝てません。無料は真っ赤な嘘です。本当に不快にしかならず時間の無駄になるので絶対にやめてください。,,,,,,0
4,4,76561199207724068,681,True,0,ままーーー,,,,,,0
5,5,76561199131308100,12031,False,0,操作性悪すぎてイライラするやるだけ時間の無駄,,,,,,0
6,6,76561198002592180,743,False,2,"・オンライン対戦のグズリが酷い。（直観的な操作ができない）
・ストレスしかならない。
・コナミエフェクト炸裂する。

",,,,,,0
7,7,76561199132968579,5579,False,1,時間の無駄。,,,,,,0
8,8,76561199214222702,4104,True,0,q,,,,,,0
9,9,76561199387006872,5598,True,0,"totemotanosii
",,,,,,0
10,10,76561199040797713,11337,False,20,"[h1] 「ウイニングイレブン」というブランドをかなぐり捨てて発売した基本プレイ無料(笑)サッカーゲーム。 [/h1]

0.9はクソゲーでもあり粗削り故のバカゲー要素もあってまだ楽しめた。今作で数年ぶりにウイイレシリーズ(もうウイイレじゃないけど)に触れた自分にとっては「これまでのブランド取っ払ってなんか新しいことやろうとしてるんだなぁ」と思えて個人的には高評価だった。結構操作とかも変わってたから前作やってたプレイヤーが不満言うのもまぁわかるけど。

そっから約半年の虚無期間を経ての1.0。選手の挙動が良くも悪くもウイイレに戻って不満は減ったと思う。実際このバージョンが一番楽しかった。

ここまではよかったのにアプデで1.1になってまたクソゲー化。0.9はまだバカゲー要素で笑えたけど今回は純度100％のクソゲー。どうしようもないクソゲー。どこがどうクソなのかは他の人がレビューしてくれてるだろうから探してくれ。とにかくクソ。[spoiler] テストプレイやってる？俺らはタダ働きのデバッガーじゃないんだよ？？ [/spoiler]

無料だからやってみようかなーとか考えてるそこの貴方。悪いことは言わん、やめとけ。ゲーム自体がある程度強い選手を使う前提のバランスになってるから最初期のカスみたいな選手でやるストレスが半端ない。その苦行を乗り越えても結局クソゲー。どう足掻いてもクソゲーなのでこれじゃなくて他の無料ゲーをやろう。その方が100倍幸せになれるぞ。

子供の頃にそこそこ遊んだシリーズなこともあってこの体たらくにだいぶ絶望してるけどこっから良ゲーになる天文学的確率を願って。てか無効試合いい加減対策しません？ [spoiler]そろそろ働け無能運営[/spoiler]

(23.01.29 追記)
レビューしてからだいぶ時間も経って今やバージョン2.3。文句も言いながら好きなレジェンドが出たら若干課金しつつどうにかDiv1(対人戦の1番上のランク)まで上り詰めたけどやっぱりクソゲー。コースを読んでパスカットしようにも威力の弱いグラウンダーのパスすら取れないこともあればピッチの半分くらいを通そうとするパスを足伸ばした体勢で完璧にカットしたりとやってる方も多分相手も宇宙猫。こんなの氷山の一角で他にも色々ツッコミ所が満載。やってみれば「はぁ？？」「そうはならんやろ！！」しか言葉が出てこないぞ！！！！！！！！！！",,,,,,0
11,11,76561198973854919,7020,False,1,審判がサッカーを知らないゲーム,,,,,,0
12,12,76561198343542745,19353,True,0,"1か月目でも無課金でdiv3までくらいはいけます。
このゲームは課金厨が多いので、ムリゲーに一見見えますが、少し頭を使って操作もなれたら無課金で十分です。

同じような課金の強いと言われてる選手を並べて、技術品評会をするよりよっぽど楽しいです。
あとは課金しててdiv5あたりをうろついてる人はもうやめたほうがいいと思います。

強い選手を使って負けてる人をみるのはとてもつらいものです。

You can go up to div3 without charge even in the first month.
This game has a lot of billing games, so at first glance it looks like a Muriga game, but if you can use your head a little and get used to the controls, you can pay without paying.

It's much more fun than holding a technical competition with players who are said to have the same strong billing.
After that, I think that people who are billing and wandering around div5 should stop.

It's very painful to see people losing using strong players.",,,,,,0
13,13,76561199253855921,203,True,0,"スマホ版で十分。
PCでまでする必要はないかな。
PCでやるならFIFAのほうが...",,,,,,0
14,14,76561198060647793,1345,False,1,つまらん,,,,,,0
15,15,76561199226765384,10798,False,0,KONAMI社員らしい頭の悪さ全開のゴミゲーム,,,,,,0
16,16,76561199175343135,7937,False,3,aiがバカ,,,,,,0
17,17,76561197974729454,15,False,4,無料だから良かった。数試合はしましたが現在アンスコ済です。友人とも意見は一致。fifaに帰ります～。,,,,,,0
18,18,76561199118155404,107902,False,3,"プレイするだけ無駄。勝っても負けても、ストレスしか溜まらない。Steamだけ、コインセールなかったり、イベントなかったり、ユーザー舐めすぎ。永遠ベータ版やってる気分。アップデートする度に「不具合は今後のアップデートで修正します。」
って言ってるけど、リリースしてから、一回も不具合なっかた事ないんじゃない？それぐらい駄作。",,,,,,0
19,19,76561199246691866,396,False,4,gomi,,,,,,0
