,number,steam_id,playtime_at_review,voted_up,votes_up,review,story,graphic,character,music,Operability,story_state
0,0,76561198068201144,24734,False,0,グッドネイバーが見つからない,,,,,,0
1,1,76561198279533757,28336,True,0,"シリーズ作品では他にFO3、FO76だけプレイ済みですが、その中でも一番好きなFO作品です。
個人的にはMODを入れない状態で遊ぶのがゲームバランス的にも楽しかったです。
ストーリーも根源的な深い問題に踏み込んでいて、プレイしてよかったなと思えました。
もし未プレイの方がいたら、おすすめしたい作品です。",,,,,,1
2,2,76561199067279225,335070,True,11,"（総評）
このゲームは時間を溶かすので、やらない方がいいです。PS4でも1年半ほど遊んでいましたが、PCでも既に5,500時間以上プレーしていて、それでも全然飽きません。貧乏で他のゲームが買えないわけではなく、他のゲームが途中でつまらなくなり、またFallout4に戻って来てしまうのです。

（あらすじ）
2077年の核戦争で荒廃したアメリカのボストンが舞台となります。主人公がVaultと呼ばれる核シェルターの契約をした直後に核戦争が起こり、家の近くにあったそこに入ることができました。そこで、ちょっとクライオポッドに入ってと言われ、そのまま長期間コールドスリープさせられていましたが、ある日一時解凍され、何者かに一緒に入った配偶者を殺され、赤ん坊の息子を誘拐されます。それからまた何年かコールドスリープしたある日、なぜか目を覚まし、Vaultを出て自宅に戻ります。そこで、核戦争から210年経っていることを自宅の執事ロボットに知らされます。主人公は、息子を探す旅に出ることを決意しますが…。

（このゲームは、このような方に向いています）
・狭い空間にTウイルスに感染したボスと閉じ込められて、逃げながら弱点を狙って倒すのは嫌だという方。
・サイバーでパンクだけど一人称視点で３D酔いする方。
・剣や魔法や弓じゃなく、とにかく銃を撃ちたいんだというトリガーハッピーな方。
・逆にクソエイムで敵を倒せない方。
・建物や畑や店を作って、意のままに入植者を割り当て働かせる、神のような存在になりたい方。
・将軍などとおだてられれば、お使いクエストを黙々と続けられる方。
・誘拐された息子を探さずに、居住地の建築にのめり込んでも罪悪感を感じない方。
・200年前の食べ物を食べるなんてナンセンスだと思わない方。
・Fallout76を一緒に遊んでくれる人がいないので、コンパニオンに話しかけて欲しい方。
・7日ごとに襲ってくるゾンビを防ぐ立派な拠点を作ったが、独りぼっちの方。
・昨日までの仲間を平気で○せる方。
・1000円しか予算がない方

（バニラゲームの概要）
主人公は、おじさんかおばさんからどちらかを選び、キャラクリもかなりできます（modなら無限に。なお、この時点でソールサバイバーの青年じゃないんだと過去作との違和感を感じる人が居るようですが、私は過去作をやっていなかったのでOK）。
難易度はベリーイージーからサバイバルまで6段階で、サバイバルとそれ以外は別ゲームと言っても良く、もちろんサバイバルが面白いです。
派閥は4つあり、メインクエストのエンディングも4つあるのでそれだけで4回おいしく遊べます（エンディングが分岐する時点でセーブして、そこから違うエンディングに向かうという風にほとんどの方はしていると思います）。なお、エンディング後もサイドクエストがいっぱいあります。
クソエイムの方は、過去作からの伝統のV.A.T.S.というエイムのアシストシステムがあり、敵が止まっているうちにどこを撃つか選べるという、チート機能がもれなく付いてきます。

（DLCについて）
DLCは、本体より敵が強くボリュームがあるので遊び応えがあります。
①ファーハーバー
島の住民、インスティテュートから逃げた人造人間、チルドレン・オブ・アトムの３者が対立する島に行くことができます。マップは、本編よりは狭いですが、真ん中に山があり簡単に行き来できません。新しい強いクリーチャーが多数追加されています。プレーヤはー上記の3者のどれに味方するのか、本編の4派閥も絡んできます。ファーハーバーについては文句を言う人はあまりいません。
②ヌカワールド
レイダーに占拠された巨大遊園地であるヌカワールドの前のボスを新しいコンパニオンのゲージの協力で倒し新しいボスとなります。ヌカワールドのロボットやクリーチャーなどを倒して遊園地を掃討した後は、連邦の居住地を攻撃して支配下におさめることもできます。自分で作った居住地を悪人プレーで襲うとか分けわからんという意見もあり、正直、私も悪人プレーは1回しかしていません。悪人プレーをしたくない場合は、レイダー（ゲイジを含む）を一掃しなければなりませんが、レイダーは7.62ミリ弾を使う武器や強いアーマーを装備しておりやたら強いので、一筋縄ではいかないでしょう。問題と言えば、レイダーを一掃した後はやることがないのでもう行かないことでしょうか。
③オートマトロン
ロボットのコンパニオンであるエイダとメカニストを倒す旅に出て、最後にはメカニストの隠れ家を居住地にすることができます。また、ロボットワークベンチを作ることができるようになり、それで、様々な新しいロボットを作ったり、コズワースやエイダ、キュリーを改造することができます。ヌカワールドがあれば、ヌカワールドのロボットも作れます。なお、殆ど敵がラストデビルしかスポーンしなくなるからいやだという人もいますが、これはクリエーションキット（CK）で調整できると思いますが。
（CKとはBethesdaがSteamで無料でダウンロードできるようにしている、Fallout4のmodを作るソフトで、私も使っています。簡単なmodならすぐできます）
④Vault-Tech ワークショップ
新たにVault88という居住地を追加し、監督官のバーストウとクエストを進め、最後にVaultの建物を他の居住地でも作ることができるようになります。
⑤その他の２つは、檻が作れたり、工場が作れたとクラフトするものが増えるものです。
なお、DLCを必要とするmodも多いので、modを使いたい方は、DLC全部入りエディションを最初から導入した方がいいと思います。

（modの導入）
そして、バニラでも面白いのですがmodを入れると100倍面白くなります。modを入れても出来ないことは、PvPとバイクや車を高速で乗り回すこと位で、その他は何でもできます（私は違いますが、専ら18禁プレー狙いの人もいるかもしれません）。modでエンディングすら変えてしまいます。まあ、多くの人は女性主人公（ノラ）等のNPCを、上から100・50・100の体形にして、布の面積の少ない衣装を着せ遊んでいるようです（私は違いますが）。
6年前発売のゲームですが、毎日最低でも10個くらいの新しいmodが発表されています（NEXUSが有名です。それを転載して日本語に訳しているサイトもあり、そこに有志の人がmodを日本語にするXMLをアップしています。なお、アダルト向けは別のサイトがありますがYouTubeにURLを書くとBANされます）。
DLC並みのmodも多く、2023年には、Fallout Londonという大型modがリリースされる予定ですが、Sim Settlements 2 の第3章、Fallout Miamiなども計画されているので、目が離せません。
過去作の公式ではないリメイク、MojaveとかPoint Lookoutとかもアップされています。過去作フリークによる非公式リメイクは今後も続くような気がします。
なお、modは日本語版に対応していない場合が多く、後述のように英語版日本語化をして遊んでいる人が多いです。

（その他）
2023年に、Bethesda公式による高解像度への対応などのアップデートが予定されていて、益々目が離せません。

何より、本体も安く（セールだと全0DLC入りで1000円ちょい位）、modは基本無料なのでコストパフォーマンスは最高です。FO76のように月1000円払う必要もありません。

他の方も書かれていますが、英語版はアップデートされましたが、日本語版はアップデートされていません。絶対とは言えませんが今後もされない可能性が高いと思います。modは英語最新版をもとに作られているので、mod導入には英語版が必要です。日本語版を買った方は、英語版は無料でダウンロードできます。ほとんどのクエストにはクエストマーカーが付き、クエストギバーと話したら、あとは、何かを取ってくるか、誰かを○すか、救助するかしかありませんので、英語版でもほぼ支障はありません。それに、海の向こうでは英語なんて幼稚園児でも話していますから…。
それでもという方は、英語版の日本語化は数分で出来ます（ダウンロードの時間は除く）。modも有志の方が最低でも日本語に機械翻訳はしてくれています。

他の方が、modを入れないと不安定だと書かれていますが、バニラでCTDした記憶はありません（PS4版だからかもですが）。現在modを500個くらい入れているので、さすがに、modの相性なのか、CTDしてしまうこともあります。その原因を調べて直すのも修行です。ただ、確かにジャガイモPCだと、いろいろきついかもしれませんね。PCを買い直すとなるとコストパフォーマンスが高いとは…。

以前、「Fallout4なら5000時間遊んでも飽きない件について」という動画のシリーズを作りましたので。暇な方はご覧ください（その他、Fallout4の動画を多数アップしています。私のチャンネルはFallout4専門です）。
https://youtu.be/eHf0q8bPs74",,,,,,0
3,3,76561199403053453,13,False,1,何故かはわかりませんが常に早送り状態でコントローラーも思い通りに動かないし人と会話も飛ばされしまうし、まともにプレイできません。返金ってしてもらえるのでしょうか？,,,,,,0
4,4,76561198829944010,3138,True,0,"Fallout 4 GOTY EDITION をセール時に購入しました。
このゲームは広大なステージを自由気ままに散策しながら自分のペースでのんびり遊ぶことができるRPGアクションゲームです。様々な思惑を抱えている登場人物たちと交わされる会話の中で、主人公の決断や判断によって物語の行く末が大きく変わります。そのためゲームを遊ぶ過程で主人公に自分を投影して、より深く物語を楽しむことができます。
またこのゲームでは世紀末なモヒカンや恐ろしい怪物と戦う場面が数多くあります。嬉しいことに、アクションゲームが苦手な方でもゲームを楽しめるようにVATSという仕組みが存在します。僕自身、ほぼすべての戦闘においてこの機能を活用してゲームを楽しんでいます。",,,,,,1
5,5,76561198320836875,2768,True,0,"非公式MODを入れないと駄目＝公式サポートが無い＝ジャンク品

という考え方で買いましょう。まあsteamなら上手く動かなかったらすぐ返品できるし、そうまでしてこのゲームにこだわる必要も無いんだよね。他に1000円以下で面白く遊べるゲームなんてごまんと在るし、CGクオリティももう流石に古臭い。


・プレイ時間8時間目感想↓
よく分からないけど分からない也に荒廃した世界を観光して、何か襲ってきたら戦って経験値貯めて、人から話を聞いて、協力したり、裏切ったり、とりあえず撃ったら未クリアのまま終わる。そんな感じのゲーム

各所が異常なまでに作りが細かく、廃墟巡りとか好きな人は歩いてるだけで楽しいかも（その所為でロードが長いんだろうけど）

あ、みんな大好きゾンビとヒャッハーさん達もいるよ。

オープンワールドに戻る時のロード時間はさすがに長いね、別の作業をして待とう

とにかく人と聞きなれない単語が多い。ちゃんと皆からじっくり話を聞いて世界観を徐々に掴んでいく必要がある。脳死でドンパチ出来ればいいって人は向いてないかも

サバイバルモードだと一撃死＆食料と水と薬の確保のために常に金欠という、「ああ、世紀末だなあ」という極状のM快楽が得られる

一部操作がキー固定で、右利き用に最適化されているので左マウスだと非常にやりずらい😔",,,,,,0
6,6,76561199052587686,1961,True,4,"「なんで今までこのゲームに手を出さなかったのか？」…それは多分「今するために取っておいた」のだと思う…ゲーマーの勘？
新作が素晴らしいという時代はもう何年か前に過ぎてしまったことを痛感します…未プレイの方はぜひゲームオブイヤー版をお勧めします!!
初心者の方のためのサイトとかもありますので、活用してください。
マッドマックスやシックスストリングサムライ、メタルマックスな世界を文字通り冒険するゲームです。
レトロフューチャー・パンクです!!
一応好みもあると思いますが、自称でも通称でもゲーマーならプレイしておくべきです。

追記：銃夢、ザブングル、北斗の拳が好きな人にはおススメです
…人間が「犬の首輪」を装備したら面白いでした

★MODの知識必須!!完全版を遊びたいのであれば、US版を日本語化してさらにバグFIX系のプラグイン、MODを使い自分好みのゲームに改造して遊ぶことができるという驚き!!これはもうマスターピースですね!!!

",,,,,,0
7,7,76561198078178638,17818,True,0,"Falloutシリーズ未体験なら、遊びやすさの点で、これから始めるのをお勧めする。
Steam Deckでも快適に遊べる。",,,,,,0
8,8,76561199086973572,6815,True,0,"普通に面白い。ジャンク集めて敵倒して武器カスタムしてロケーション巡って・・・気が付くと寝る時間にｗ
",,,,,,0
9,9,76561198137151158,16235,True,0,good,,,,,,0
